2 21
19 12
65	30	59	8	80	38	16	71	49	74	55	63
21	68	52	49	35	77	0	58	27	64	56	30
25	32	37	78	55	11	56	71	46	26	26	0
59	23	25	76	14	79	96	60	24	29	73	53
30	40	88	44	13	5	14	60	84	48	12	16
55	69	41	6	89	87	92	54	45	97	48	52
21	39	38	88	24	46	21	54	23	78	6	38
83	86	11	10	92	75	44	68	82	98	44	79
50	92	2	39	51	56	30	46	26	86	80	91
55	2	38	75	73	76	26	56	21	5	96	68
56	64	11	16	74	50	28	4	71	61	85	30
56	66	18	88	81	71	25	26	17	54	28	94
56	3	73	52	74	34	31	21	54	68	31	63
24	61	33	11	13	23	32	60	74	99	7	80
32	0	4	81	63	71	41	82	45	42	72	67
25	77	91	31	79	68	38	80	67	71	47	32
39	88	36	83	89	31	92	92	2	47	23	87
26	8	87	64	64	81	38	1	39	33	82	33
52	82	48	10	47	58	27	67	67	48	44	8
